Statistikdatum,Totalt_antal_fall,Stockholm,Östergötland
2/4/2020,1,0,0
2/5/2020,0,0,0
2/6/2020,0,0,0
2/7/2020,0,0,0
2/8/2020,0,0,0
2/9/2020,0,0,0
2/10/2020,0,0,0
2/11/2020,0,0,0
2/12/2020,0,0,0
2/13/2020,0,0,0
2/14/2020,0,0,0
2/15/2020,0,0,0
2/16/2020,0,0,0
2/17/2020,0,0,0
2/18/2020,0,0,0
2/19/2020,0,0,0
2/20/2020,0,0,0
2/21/2020,0,0,0
2/22/2020,0,0,0
2/23/2020,0,0,0
2/24/2020,0,0,0
2/25/2020,0,0,0
2/26/2020,1,0,0
2/27/2020,1,1,0
2/28/2020,8,2,0
2/29/2020,3,1,0
3/1/2020,0,0,0
3/2/2020,5,1,0
3/3/2020,13,10,0
3/4/2020,30,21,0
3/5/2020,25,22,0
3/6/2020,59,36,0
3/7/2020,33,21,0
3/8/2020,46,29,0
3/9/2020,101,64,0
3/10/2020,98,26,0
3/11/2020,196,32,0
3/12/2020,151,42,1
3/13/2020,152,31,10
3/14/2020,71,18,7
3/15/2020,69,17,9
3/16/2020,83,34,8
3/17/2020,119,35,13
3/18/2020,145,58,28
3/19/2020,143,66,28
3/20/2020,180,84,22
3/21/2020,136,71,12
3/22/2020,118,59,13
3/23/2020,182,99,18
3/24/2020,230,105,30
3/25/2020,314,154,11
3/26/2020,286,132,29
3/27/2020,365,176,33
3/28/2020,300,147,41
3/29/2020,280,149,40
3/30/2020,416,172,27
3/31/2020,475,209,47
4/1/2020,486,205,63
4/2/2020,554,216,70
4/3/2020,601,245,28
4/4/2020,357,129,58
4/5/2020,340,172,41
4/6/2020,389,131,39
4/7/2020,738,243,57
4/8/2020,654,271,56
4/9/2020,645,240,54
4/10/2020,454,148,31
4/11/2020,395,200,27
4/12/2020,464,182,22
4/13/2020,437,200,31
4/14/2020,479,179,23
4/15/2020,604,215,31
4/16/2020,623,221,19
4/17/2020,688,221,29
4/18/2020,532,180,52
4/19/2020,388,192,16
4/20/2020,461,211,24
4/21/2020,707,163,35
4/22/2020,722,288,29
4/23/2020,758,291,29
4/24/2020,780,227,33
4/25/2020,473,138,30
4/26/2020,300,110,6
4/27/2020,563,213,13
4/28/2020,742,240,34
4/29/2020,799,248,19
4/30/2020,635,215,17
5/1/2020,532,141,25
5/2/2020,299,81,17
5/3/2020,261,127,8
5/4/2020,477,149,13
5/5/2020,657,169,21
5/6/2020,745,206,22
5/7/2020,784,266,16
5/8/2020,700,222,21
5/9/2020,509,115,22
5/10/2020,279,78,15
5/11/2020,455,210,10
5/12/2020,754,234,30
5/13/2020,698,236,19
5/14/2020,657,148,31
5/15/2020,688,184,15
5/16/2020,358,64,13
5/17/2020,259,59,12
5/18/2020,430,150,31
5/19/2020,666,177,17
5/20/2020,808,174,26
5/21/2020,610,120,41
5/22/2020,532,144,12
5/23/2020,403,78,23
5/24/2020,210,59,5
5/25/2020,491,160,9
5/26/2020,746,197,25
5/27/2020,800,206,30
5/28/2020,774,278,0
5/29/2020,773,210,1
5/30/2020,432,73,0
5/31/2020,265,67,0
6/1/2020,648,160,92
6/2/2020,901,153,32
6/3/2020,1046,234,30
6/4/2020,1039,207,37
6/5/2020,1146,227,42
6/6/2020,780,177,45
6/7/2020,462,47,9
6/8/2020,677,243,4
6/9/2020,936,239,48
6/10/2020,1437,263,52
6/11/2020,1293,207,51
6/12/2020,1329,186,69
6/13/2020,1032,165,45
6/14/2020,418,75,10
6/15/2020,685,116,20
6/16/2020,1209,214,49
6/17/2020,1457,361,62
6/18/2020,1494,380,73
6/19/2020,1209,371,71
6/20/2020,698,198,19
6/21/2020,321,92,18
6/22/2020,800,219,19
6/23/2020,1310,217,61
6/24/2020,1698,284,78
6/25/2020,1279,228,57
6/26/2020,1204,225,37
6/27/2020,755,248,49
6/28/2020,415,191,14
6/29/2020,727,239,26
6/30/2020,803,170,38
7/1/2020,684,172,48
7/2/2020,687,169,20
7/3/2020,694,176,12
7/4/2020,364,96,26
7/5/2020,315,108,14
7/6/2020,251,53,3
7/7/2020,278,46,10
7/8/2020,533,123,13
7/9/2020,334,85,10
7/10/2020,369,73,11
7/11/2020,308,73,8
7/12/2020,106,28,5
7/13/2020,170,31,7
7/14/2020,312,88,8
7/15/2020,287,64,11
7/16/2020,268,86,7
7/17/2020,284,78,6
7/18/2020,191,30,9
7/19/2020,110,18,3
7/20/2020,131,23,6
7/21/2020,226,78,4
7/22/2020,297,69,2
7/23/2020,220,56,1
7/24/2020,262,60,5
7/25/2020,138,21,6
7/26/2020,42,21,2
7/27/2020,71,9,3
7/28/2020,283,78,5
7/29/2020,301,46,8
7/30/2020,302,49,8
7/31/2020,258,43,4
8/1/2020,303,64,9
8/2/2020,38,6,6
8/3/2020,165,22,25
8/4/2020,333,92,6
8/5/2020,425,59,15
8/6/2020,378,67,11
8/7/2020,380,49,8
8/8/2020,260,51,11
8/9/2020,73,24,12
8/10/2020,196,37,9
8/11/2020,417,102,10
8/12/2020,444,81,6
8/13/2020,363,55,9
8/14/2020,344,81,18
8/15/2020,226,55,19
8/16/2020,63,5,10
8/17/2020,174,35,7
8/18/2020,314,71,8
8/19/2020,351,73,8
8/20/2020,333,65,11
8/21/2020,298,59,8
8/22/2020,160,49,8
8/23/2020,57,1,16
8/24/2020,174,30,5
8/25/2020,223,49,8
8/26/2020,244,47,8
8/27/2020,202,35,3
8/28/2020,179,39,4
8/29/2020,131,26,0
8/30/2020,48,14,0
8/31/2020,162,20,19
9/1/2020,172,31,3
9/2/2020,213,38,4
9/3/2020,286,59,11
9/4/2020,262,53,9
9/5/2020,171,42,11
9/6/2020,67,11,5
9/7/2020,185,11,7
9/8/2020,238,39,16
9/9/2020,314,44,13
9/10/2020,257,50,12
9/11/2020,292,65,11
9/12/2020,206,78,7
9/13/2020,106,18,5
9/14/2020,220,23,2
9/15/2020,295,54,13
9/16/2020,332,94,8
9/17/2020,224,40,5
,,,
